Description,Designator,Manufacturer,Manufacturer Part Number,Supplier 1,Supplier Part Number 1,Quantity,Usage

"25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1, C6, C7, C9","Samsung Electro-Mechanics","CL21A106KAYNNNE","LCSC","C15850","4",""
"50V 100nF Y5V -20%~+80% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C2, C3, C4, C5, C8, C10, C11, C16","Walsin Tech Corp","0603F104Z500CT","LCSC","C83060","8",""
"100uF 35V ±20% Plugin,D6.3xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS","C12","HRK","35V100uF CD110","LCSC","C2960381","1",""
"10V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C13","HRE","CGA0603X5R226M100JT","LCSC","C6119863","1",""
"10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C14, C15","CCTC","TCC0603X5R106K100CT","LCSC","C380314","2",""
"DIODE SCHOTTKY 40V 1A SOD123F","D1","Shanghai Prisemi Elec","PSBD1DF40V1H","LCSC","C110730","1",""
"-30?~+85? RGB 110° 3535(mm) Light Emitting Diodes (LED) ROHS","D2","Foshan NationStar Optoelectronics","RS-3535MWAM","LCSC","C842778","1",""
"LED GREEN CLEAR 0805 SMD","D3, D4","XINGLIGHT","XL-2012UGC","LCSC","C965815","2",""
"LED RED CLEAR 0805 SMD","D5","XINGLIGHT","XL-2012SURC","LCSC","C965812","1",""
"2A 1 100mO 60O@100MHz ±25% 0603 Ferrite Beads ROHS","FB1, FB2, FB3, FB4, FB5","TAI-TECH","HCB1608KF-600T20","LCSC","C369516","5",""
"3A USB 3.1 1 Surface Mount 16P Female -40?~+85? Type-C SMD USB Connectors ROHS","j4","SHOU HAN","TYPE-C-3.1-16PIN","LCSC","C7507405","1",""
"2POS 5MM","J1, J2","JILN","JL126-50002G01","LCSC","C394556","2",""
"CONN PWR JACK 2X5.5MM SOLDER","J3","HCTL","HC-DC-005-2.0T","LCSC","C3010533","1",""
"4A 2.2uH ±20% 22.1mO SMD,5.8x5.2mm Inductors (SMD) ROHS","L1","SHOU HAN","CY54-2.2UH","LCSC","C2929427","1",""
"MOSFET N-CH 20V SOT23","Q1","Doeshare","DN2302S","LCSC","C2931750","1",""
"RES SMD 10k OHM 5% 1/10W 0603","R1, R9, R10, R15","FOJAN","FRC0603J103TS","LCSC","C2930027","4",""
"RES SMD 1k OHM 5% 1/10W 0603","R2, R3, R4, R5, R18","FOJAN","FRC0603J102 TS","LCSC","C2907113","5",""
"RES SMD 100R OHM 5% 1/10W 0603","R6, R7, R8","FOJAN","FRC0603J101 TS","LCSC","C2907089","3",""
"RES SMD 10k OHM 5% 1/10W 0603","R11, R12, R19, R23","FOJAN","FRC0603J103TS","LCSC","C2930027","4","NM"
"100mW Thick Film Resistor 50V ±100ppm/? ±1% 84.5O 0603 Chip Resistor - Surface Mount ROHS","R13, R16","LIZ Elec","CR0603FA84R5G","LCSC","C101216","2",""
"100mW Thick Film Resistor 75V ±100ppm/? ±1% 33.2kO 0603 Chip Resistor - Surface Mount ROHS","R14, R20","YAGEO","RC0603FR-0733K2L","LCSC","C185338","2",""
"100mW Thick Film Resistor 75V ±100ppm/? ±1% 150O 0603 Chip Resistor - Surface Mount ROHS","R17","RALEC","RTT031500FTP","LCSC","C103302","1",""
"100mW Thick Film Resistor 75V ±1% 4.7kO 0603 Chip Resistor - Surface Mount ROHS","R21, R22","VO","SCR0603F4K7","LCSC","C3016318","2",""
"100mW Thick Film Resistor 75V ±100ppm/? ±1% 54.9kO 0603 Chip Resistor - Surface Mount ROHS","R24","YAGEO","RC0603FR-0754K9L","LCSC","C185321","1",""
"SWITCH TACTILE SPST-NO 0.05A 12V","SW1","BZCN","TSC015A05026A","LCSC","C2888509","1",""
"IC MCU 32BIT 64KB FLASH 48LQFP","U1","STMicroelectronics","STM32F030C8T6TR","LCSC","C23922","1",""
"RF TXRX MOD BT WIFI PCB TH SMD","U2","Espressif Systems","ESP32-C3-WROOM-02-N4","LCSC","C2934560","1",""
"IC REG BUCK ADJ 4A SOT23","U3","Texas Instruments","TPS564201DDCR","LCSC","C464812","1",""
"TVS DIODE 5.25V 17V SOT23-6","U4","STMicroelectronics","USBLC6-2SC6","LCSC","C7519","1",""
"IC USB TO UART BRIDGE QFN20","U5","Silicon Labs","CP2102N-A02-GQFN20R","LCSC","C969913","1",""
