Description,Designator,Manufacturer,Manufacturer Part Number,Quantity,Usage,Supplier 1,Supplier Part Number 1

"25V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1, C100, C101, C200","Samsung Electro-Mechanics","CL21A106KAYNNNE","4","","LCSC","C15850"
"50V 100nF Y5V -20%~+80% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C2, C3, C4, C5, C102, C201, C300, C305","Walsin Tech Corp","0603F104Z500CT","8","","LCSC","C83060"
"100uF 35V ±20% Plugin,D6.3xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS","C301","HRK","35V100uF CD110","1","","LCSC","C2960381"
"10V 22uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C302","HRE","CGA0603X5R226M100JT","1","","LCSC","C6119863"
"10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C303, C304","CCTC","TCC0603X5R106K100CT","2","","LCSC","C380314"
"DIODE SCHOTTKY 40V 1A SOD123F","D200","Shanghai Prisemi Elec","PSBD1DF40V1H","1","","LCSC","C110730"
"-30?~+85? RGB 110° 3535(mm) Light Emitting Diodes (LED) ROHS","D201","Foshan NationStar Optoelectronics","RS-3535MWAM","1","","LCSC","C842778"
"LED GREEN CLEAR 0805 SMD","D300, D301","XINGLIGHT","XL-2012UGC","2","","LCSC","C965815"
"LED RED CLEAR 0805 SMD","D302","XINGLIGHT","XL-2012SURC","1","","LCSC","C965812"
"2A 1 100mO 60O@100MHz ±25% 0603 Ferrite Beads ROHS","FB1, FB100, FB200, FB300, FB301","TAI-TECH","HCB1608KF-600T20","5","","LCSC","C369516"
"3A USB 3.1 1 Surface Mount 16P Female -40?~+85? Type-C SMD USB Connectors ROHS","j301","SHOU HAN","TYPE-C-3.1-16PIN","1","","LCSC","C7507405"
"2POS 5MM","J200, J201","JILN","JL126-50002G01","2","","LCSC","C394556"
"CONN PWR JACK 2X5.5MM SOLDER","J300","HCTL","HC-DC-005-2.0T","1","","LCSC","C3010533"
"4A 2.2uH ±20% 22.1mO SMD,5.8x5.2mm Inductors (SMD) ROHS","L300","SHOU HAN","CY54-2.2UH","1","","LCSC","C2929427"
"MOSFET N-CH 20V SOT23","Q200","Doeshare","DN2302S","1","","LCSC","C2931750"
"RES SMD 10k OHM 5% 1/10W 0603","R1, R203, R204, R302","FOJAN","FRC0603J103TS","4","","LCSC","C2930027"
"RES SMD 1k OHM 5% 1/10W 0603","R100, R101, R102, R103, R305","FOJAN","FRC0603J102 TS","5","","LCSC","C2907113"
"RES SMD 100R OHM 5% 1/10W 0603","R200, R201, R202","FOJAN","FRC0603J101 TS","3","","LCSC","C2907089"
"RES SMD 10k OHM 5% 1/10W 0603","R205, R206, R306, R310","FOJAN","FRC0603J103TS","4","NM","LCSC","C2930027"
"100mW Thick Film Resistor 50V ±100ppm/? ±1% 84.5O 0603 Chip Resistor - Surface Mount ROHS","R300, R303","LIZ Elec","CR0603FA84R5G","2","","LCSC","C101216"
"100mW Thick Film Resistor 75V ±100ppm/? ±1% 33.2kO 0603 Chip Resistor - Surface Mount ROHS","R301, R307","YAGEO","RC0603FR-0733K2L","2","","LCSC","C185338"
"100mW Thick Film Resistor 75V ±100ppm/? ±1% 150O 0603 Chip Resistor - Surface Mount ROHS","R304","RALEC","RTT031500FTP","1","","LCSC","C103302"
"100mW Thick Film Resistor 75V ±1% 4.7kO 0603 Chip Resistor - Surface Mount ROHS","R308, R309","VO","SCR0603F4K7","2","","LCSC","C3016318"
"100mW Thick Film Resistor 75V ±100ppm/? ±1% 54.9kO 0603 Chip Resistor - Surface Mount ROHS","R311","YAGEO","RC0603FR-0754K9L","1","","LCSC","C185321"
"SWITCH TACTILE SPST-NO 0.05A 12V","SW100","BZCN","TSC015A05026A","1","","LCSC","C2888509"
"IC MCU 32BIT 64KB FLASH 48LQFP","U1","STMicroelectronics","STM32F030C8T6TR","1","","LCSC","C23922"
"RF TXRX MOD BT WIFI PCB TH SMD","U100","Espressif Systems","ESP32-C3-WROOM-02-N4","1","","LCSC","C2934560"
"IC REG BUCK ADJ 4A SOT23","U300","Texas Instruments","TPS564201DDCR","1","","LCSC","C464812"
"TVS DIODE 5.25V 17V SOT23-6","U301","STMicroelectronics","USBLC6-2SC6","1","","LCSC","C7519"
"IC USB TO UART BRIDGE QFN20","U302","Silicon Labs","CP2102N-A02-GQFN20R","1","","LCSC","C969913"
